# energy dos
-2.747749999999999915e+01 3.299435607270764098e-02
-2.746509999999999962e+01 1.411140339867144461e-02
-2.745279999999999987e+01 5.726049172732909989e-03
-2.744040000000000035e+01 2.193317001200227601e-03
-2.742810000000000059e+01 7.885595000143327642e-04
-2.741569999999999752e+01 2.644624437284873609e-04
-2.740329999999999799e+01 8.219618376178848421e-05
-2.739099999999999824e+01 2.351367302904798967e-05
-2.737859999999999872e+01 6.144021946458186114e-06
-2.736619999999999919e+01 1.452943906707963604e-06
-2.735389999999999944e+01 3.067152578225584958e-07
-2.734149999999999991e+01 5.586963199007999861e-08
-2.732920000000000016e+01 7.892247780353017889e-09
-2.731679999999999708e+01 0.000000000000000000e+00
-2.730439999999999756e+01 0.000000000000000000e+00
-2.729209999999999781e+01 0.000000000000000000e+00
-2.727969999999999828e+01 0.000000000000000000e+00
-2.726739999999999853e+01 0.000000000000000000e+00
-2.725499999999999901e+01 0.000000000000000000e+00
-2.724259999999999948e+01 0.000000000000000000e+00
-2.723029999999999973e+01 0.000000000000000000e+00
-2.721790000000000020e+01 0.000000000000000000e+00
-2.720549999999999713e+01 0.000000000000000000e+00
-2.719319999999999737e+01 0.000000000000000000e+00
-2.718079999999999785e+01 0.000000000000000000e+00
-2.716849999999999810e+01 0.000000000000000000e+00
-2.715609999999999857e+01 0.000000000000000000e+00
-2.714369999999999905e+01 0.000000000000000000e+00
-2.713139999999999930e+01 0.000000000000000000e+00
-2.711899999999999977e+01 0.000000000000000000e+00
-2.710670000000000002e+01 0.000000000000000000e+00
-2.709430000000000049e+01 0.000000000000000000e+00
-2.708189999999999742e+01 0.000000000000000000e+00
-2.706959999999999766e+01 0.000000000000000000e+00
-2.705719999999999814e+01 0.000000000000000000e+00
-2.704479999999999862e+01 0.000000000000000000e+00
-2.703249999999999886e+01 0.000000000000000000e+00
-2.702009999999999934e+01 0.000000000000000000e+00
-2.700779999999999959e+01 0.000000000000000000e+00
-2.699540000000000006e+01 0.000000000000000000e+00
-2.698300000000000054e+01 0.000000000000000000e+00
-2.697069999999999723e+01 0.000000000000000000e+00
-2.695829999999999771e+01 0.000000000000000000e+00
-2.694599999999999795e+01 0.000000000000000000e+00
-2.693359999999999843e+01 0.000000000000000000e+00
-2.692119999999999891e+01 0.000000000000000000e+00
-2.690889999999999915e+01 0.000000000000000000e+00
-2.689649999999999963e+01 0.000000000000000000e+00
-2.688410000000000011e+01 0.000000000000000000e+00
-2.687180000000000035e+01 0.000000000000000000e+00
-2.685939999999999728e+01 0.000000000000000000e+00
-2.684709999999999752e+01 0.000000000000000000e+00
-2.683469999999999800e+01 0.000000000000000000e+00
-2.682229999999999848e+01 0.000000000000000000e+00
-2.680999999999999872e+01 0.000000000000000000e+00
-2.679759999999999920e+01 0.000000000000000000e+00
-2.678529999999999944e+01 0.000000000000000000e+00
-2.677289999999999992e+01 0.000000000000000000e+00
-2.676050000000000040e+01 0.000000000000000000e+00
-2.674819999999999709e+01 0.000000000000000000e+00
-2.673579999999999757e+01 0.000000000000000000e+00
-2.672339999999999804e+01 0.000000000000000000e+00
-2.671109999999999829e+01 0.000000000000000000e+00
-2.669869999999999877e+01 0.000000000000000000e+00
-2.668639999999999901e+01 0.000000000000000000e+00
-2.667399999999999949e+01 0.000000000000000000e+00
-2.666159999999999997e+01 0.000000000000000000e+00
-2.664930000000000021e+01 0.000000000000000000e+00
-2.663689999999999714e+01 0.000000000000000000e+00
-2.662459999999999738e+01 0.000000000000000000e+00
