# energy s p d
-2.850929999999999964e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.849660000000000082e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.848379999999999868e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.847109999999999985e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.845830000000000126e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.844559999999999889e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.843280000000000030e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.842010000000000147e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.920128897823136190e-09
-2.840729999999999933e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.530847746256226177e-08
-2.839460000000000051e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.583918951057066549e-07
-2.838179999999999836e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.905570586433270102e-06
-2.836909999999999954e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.734822441051243145e-06
-2.835630000000000095e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.560304136549463199e-05
-2.834349999999999881e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.306771675361996716e-04
-2.833079999999999998e+01 2.460064448911568095e-09 0.000000000000000000e+00 4.363481085199002909e-04
-2.831800000000000139e+01 1.658394871117907135e-08 7.380193346734704699e-09 1.337033240698621683e-03
-2.830529999999999902e+01 6.397711494550664952e-08 3.991158833789094002e-08 3.790455902330519631e-03
-2.829250000000000043e+01 2.018281596612097676e-07 1.477361300320077227e-07 1.002096510154538989e-02
-2.827980000000000160e+01 5.767736503567936250e-07 4.520903330728946601e-07 2.488883927963531084e-02
-2.826699999999999946e+01 1.492788378578665706e-06 1.237828739298754019e-06 5.845319141905066379e-02
-2.825430000000000064e+01 3.579466044315123632e-06 3.102564756656261861e-06 1.305138575727475270e-01
-2.824149999999999849e+01 8.067016678869224101e-06 7.252052460594182933e-06 2.782001383841335440e-01
-2.822879999999999967e+01 1.718900376941751154e-05 1.596295658380776793e-05 5.678634038324809064e-01
-2.821600000000000108e+01 3.478769620514761364e-05 3.325949311386334226e-05 1.112464851132008992e+00
-2.820329999999999870e+01 6.707535580077003559e-05 6.586154296577749435e-05 2.095145663347561804e+00
-2.819050000000000011e+01 1.234865917620085252e-04 1.242664567484920478e-04 3.798570748558885768e+00
-2.817780000000000129e+01 2.174796814244523422e-04 2.239022830575460965e-04 6.637912270129260328e+00
-2.816499999999999915e+01 3.670179537949640972e-04 3.860302407975210173e-04 1.119316550045158287e+01
-2.815220000000000056e+01 5.944363792154364490e-04 6.380641727252341078e-04 1.823432807014821577e+01
-2.813950000000000173e+01 9.254198104020520217e-04 1.012950010353367994e-03 2.873150653750616357e+01
-2.812669999999999959e+01 1.386912648970368023e-03 1.547271291600163306e-03 4.384195020471569393e+01
-2.811400000000000077e+01 2.004089916971409958e-03 2.278041883231320293e-03 6.486781923489881763e+01
-2.810119999999999862e+01 2.796645239191689839e-03 3.238326045295066881e-03 9.318220567533649046e+01
-2.808849999999999980e+01 3.775085758135736554e-03 4.452112903491530112e-03 1.301261334511827670e+02
-2.807570000000000121e+01 4.937764334596065133e-03 5.929240591117677060e-03 1.768852638460369633e+02
-2.806299999999999883e+01 6.269286871603136670e-03 7.661142648282786086e-03 2.343609574086051452e+02
-2.805020000000000024e+01 7.740821185968724955e-03 9.618302934121482003e-03 3.030551092731780614e+02
-2.803750000000000142e+01 9.312270124030002511e-03 1.175012788920867801e-02 3.829902965019429075e+02
-2.802469999999999928e+01 1.093605557311424538e-02 1.398755634630685467e-02 4.736843360645903545e+02
-2.801200000000000045e+01 1.256181247034602287e-02 1.624836094620052407e-02 5.741895247003818668e+02
-2.799919999999999831e+01 1.414116308648061607e-02 1.844454881947000385e-02 6.831910849653852438e+02
-2.798649999999999949e+01 1.563193814754897451e-02 2.049101831760144141e-02 7.991389157678811443e+02
-2.797370000000000090e+01 1.700127462227896125e-02 2.231420703129526756e-02 9.203674826833656653e+02
-2.796089999999999876e+01 1.822742334930389438e-02 2.385952092566529306e-02 1.045149204235439129e+03
-2.794819999999999993e+01 1.930013394757430084e-02 2.509638916429057787e-02 1.171635458207207876e+03
-2.793540000000000134e+01 2.021963863281415683e-02 2.602000335548544305e-02 1.297670346732431426e+03
-2.792269999999999897e+01 2.099417061890244962e-02 2.664920416863792926e-02 1.420511298763017976e+03
-2.790990000000000038e+01 2.163596732177613252e-02 2.702038885480821315e-02 1.536543634555596554e+03
-2.789720000000000155e+01 2.215608616420504037e-02 2.717820410488339805e-02 1.641113084522358122e+03
-2.788439999999999941e+01 2.255863713411960375e-02 2.716443176488653882e-02 1.728601219943583828e+03
-2.787170000000000059e+01 2.283576642550824362e-02 2.700738594223653713e-02 1.792823476858571667e+03
-2.785889999999999844e+01 2.296491382114882948e-02 2.671441601316217052e-02 1.827743871402894229e+03
-2.784619999999999962e+01 2.290980012720220810e-02 2.626969968732049618e-02 1.828398012632617792e+03
-2.783340000000000103e+01 2.262566093452322846e-02 2.563842578716489171e-02 1.791831078040163220e+03
-2.782069999999999865e+01 2.206817381020340432e-02 2.477665315567429208e-02 1.717823004380251632e+03
-2.780790000000000006e+01 2.120420554654170453e-02 2.364460605724402406e-02 1.609206883304107123e+03
-2.779520000000000124e+01 2.002173858658192959e-02 2.222001441072486011e-02 1.471681880415716023e+03
